Topo = smallworld
Nodes = 30
Flavor = 1
Opts = none
   Update Statistics
--------------------------------------------
Switch	(+)	(-)	(~)	Total	Overhead
--------------------------------------------
s1	2420	1672	0	4092	51%
s2	1756	1596	0	3352	60%
s3	5350	3914	0	9264	76%
s4	5374	3922	0	9296	69%
s5	8321	6181	0	14502	90%
s6	3088	2132	0	5220	70%
s7	3456	2912	0	6368	72%
s8	3673	2525	0	6198	76%
s9	3484	2416	0	5900	67%
s10	2933	2057	0	4990	69%
s11	2602	1726	0	4328	57%
s12	5105	3857	0	8962	70%
s13	4567	2987	0	7554	77%
s14	5264	3460	0	8724	77%
s15	2420	1672	0	4092	51%
s16	2735	1875	0	4610	77%
s17	3303	2759	0	6062	65%
s18	4109	2753	0	6862	72%
s19	2764	1824	0	4588	61%
s20	5587	3719	0	9306	80%
s21	3793	2677	0	6470	66%
s22	3263	2639	0	5902	76%
s23	3663	2563	0	6226	63%
s24	2552	1628	0	4180	75%
s25	3295	2339	0	5634	60%
s26	4173	2913	0	7086	74%
s27	1915	1755	0	3670	52%
s28	3404	2336	0	5740	74%
s29	4164	3016	0	7180	73%
s30	3897	2637	0	6534	78%
--------------------------------------------
total	112430	80462	0	112430	90%	60.3847

