Topo = waxman
Nodes = 30
Flavor = 2
Opts = none
   Update Statistics
--------------------------------------------
Switch	(+)	(-)	(~)	Total	Overhead
--------------------------------------------
s1	78	54	0	132	41%
s2	36	24	0	60	0%
s3	788	528	0	1316	48%
s4	1040	696	0	1736	48%
s5	100	68	0	168	31%
s6	18	12	0	30	0%
s7	998	690	0	1688	69%
s8	36	24	0	60	0%
s9	18	12	0	30	0%
s10	36	24	0	60	0%
s11	1040	696	0	1736	48%
s12	138	90	0	228	37%
s13	790	540	0	1330	66%
s14	740	528	0	1268	48%
s15	1040	696	0	1736	48%
s16	36	24	0	60	0%
s17	3680	2472	0	6152	89%
s18	224	146	0	370	43%
s19	482	330	0	812	44%
s20	788	528	0	1316	48%
s21	836	574	0	1410	65%
s22	3090	2072	0	5162	82%
s23	3204	2152	0	5356	87%
s24	3290	2220	0	5510	83%
s25	132	84	0	216	33%
s26	1040	696	0	1736	48%
s27	972	678	0	1650	69%
s28	1504	1008	0	2512	73%
s29	460	312	0	772	43%
s30	2534	1724	0	4258	79%
--------------------------------------------
total	29168	19702	0	29168	89%	15.4590

