Topo = waxman
Nodes = 27
Flavor = 2
Opts = none
   Update Statistics
--------------------------------------------
Switch	(+)	(-)	(~)	Total	Overhead
--------------------------------------------
s1	496	344	0	840	71%
s2	2471	1690	0	4161	75%
s3	1224	824	0	2048	62%
s4	3181	2162	0	5343	81%
s5	622	420	0	1042	65%
s6	18	12	0	30	0%
s7	2611	1794	0	4405	77%
s8	1172	792	0	1964	48%
s9	704	476	0	1180	75%
s10	36	24	0	60	0%
s11	36	24	0	60	0%
s12	414	272	0	686	63%
s13	278	178	0	456	35%
s14	1852	1320	0	3172	76%
s15	1114	792	0	1906	48%
s16	716	488	0	1204	69%
s17	3218	2178	0	5396	85%
s18	292	192	0	484	40%
s19	2597	1786	0	4383	77%
s20	1954	1320	0	3274	76%
s21	3604	2532	0	6136	83%
s22	450	294	0	744	54%
s23	316	212	0	528	47%
s24	1482	1002	0	2484	59%
s25	278	192	0	470	46%
s26	1168	792	0	1960	48%
s27	1104	792	0	1896	48%
--------------------------------------------
total	33408	22904	0	33408	85%	18.2037

