Topo = waxman
Nodes = 27
Flavor = 1
Opts = none
   Update Statistics
--------------------------------------------
Switch	(+)	(-)	(~)	Total	Overhead
--------------------------------------------
s1	584	372	0	956	68%
s2	2255	1626	0	3881	71%
s3	1144	814	0	1958	76%
s4	2767	2056	0	4823	73%
s5	616	398	0	1014	61%
s6	24	18	0	42	0%
s7	2181	1602	0	3783	71%
s8	1020	768	0	1788	49%
s9	718	470	0	1188	77%
s10	36	24	0	60	0%
s11	24	18	0	42	0%
s12	394	298	0	692	66%
s13	238	178	0	416	51%
s14	1832	1284	0	3116	74%
s15	1010	678	0	1688	51%
s16	748	500	0	1248	78%
s17	3031	2165	0	5196	90%
s18	260	200	0	460	48%
s19	2275	1628	0	3903	77%
s20	1914	1360	0	3274	75%
s21	3224	2310	0	5534	76%
s22	400	304	0	704	61%
s23	318	210	0	528	66%
s24	1305	969	0	2274	58%
s25	350	210	0	560	64%
s26	1020	768	0	1788	49%
s27	930	678	0	1608	63%
--------------------------------------------
total	30618	21906	0	30618	90%	16.9481

