Topo = smallworld
Nodes = 27
Flavor = 1
Opts = none
   Update Statistics
--------------------------------------------
Switch	(+)	(-)	(~)	Total	Overhead
--------------------------------------------
s1	2542	1824	0	4366	61%
s2	3622	2541	0	6163	76%
s3	3243	2297	0	5540	69%
s4	3722	2604	0	6326	75%
s5	6384	4566	0	10950	79%
s6	2518	1861	0	4379	61%
s7	3694	2616	0	6310	78%
s8	3064	2224	0	5288	67%
s9	3832	2609	0	6441	79%
s10	2536	1810	0	4346	74%
s11	4159	2994	0	7153	76%
s12	3792	2766	0	6558	72%
s13	3860	2766	0	6626	71%
s14	4143	2881	0	7024	81%
s15	2266	1639	0	3905	58%
s16	3668	2682	0	6350	62%
s17	2358	1700	0	4058	70%
s18	2161	1561	0	3722	68%
s19	1976	1308	0	3284	50%
s20	2716	1906	0	4622	73%
s21	4062	2958	0	7020	74%
s22	2541	1884	0	4425	62%
s23	3666	2604	0	6270	76%
s24	2299	1541	0	3840	56%
s25	2785	1952	0	4737	81%
s26	3586	2572	0	6158	74%
s27	2677	1972	0	4649	59%
--------------------------------------------
total	87872	62638	0	87872	81%	45.6112

