Topo = waxman
Nodes = 27
Flavor = 3
Opts = none
   Update Statistics
--------------------------------------------
Switch	(+)	(-)	(~)	Total	Overhead
--------------------------------------------
s1	502	338	0	840	68%
s2	2209	1626	0	3835	71%
s3	1136	814	0	1950	76%
s4	2729	2056	0	4785	73%
s5	584	386	0	970	63%
s6	24	18	0	42	0%
s7	2133	1602	0	3735	65%
s8	1012	768	0	1780	49%
s9	674	454	0	1128	80%
s10	36	24	0	60	0%
s11	24	18	0	42	0%
s12	384	288	0	672	71%
s13	222	162	0	384	66%
s14	1736	1284	0	3020	74%
s15	952	678	0	1630	64%
s16	680	472	0	1152	79%
s17	2994	2165	0	5159	90%
s18	254	194	0	448	45%
s19	2219	1628	0	3847	70%
s20	1892	1360	0	3252	75%
s21	3098	2310	0	5408	72%
s22	386	290	0	676	53%
s23	304	204	0	508	68%
s24	1292	969	0	2261	58%
s25	306	192	0	498	53%
s26	1006	768	0	1774	49%
s27	888	678	0	1566	54%
--------------------------------------------
total	29676	21746	0	29676	90%	15.8690

